요정의 목걸이,레벨,효과,필요 수호자의 돌,누적 수호자의 돌,해금 (Gem),누적 Gem
,0,최종 LUK 0% 증가,1,0,💎 200,200
,1,최종 LUK 1% 증가,2,1,-,200
,2,최종 LUK 2% 증가,4,3,-,200
,3,최종 LUK 3% 증가,6,7,-,200
,4,최종 LUK 4% 증가,8,13,-,200
,5,최종 LUK 5% 증가,10,21,💎 270,470
,6,최종 LUK 6% 증가,12,31,-,470
,7,최종 LUK 7% 증가,14,43,-,470
,8,최종 LUK 8% 증가,16,57,-,470
,9,최종 LUK 9% 증가,18,73,-,470
,10,최종 LUK 10% 증가,20,91,💎 340,810
,11,최종 LUK 11% 증가,22,111,-,810
,12,최종 LUK 12% 증가,24,133,-,810
,13,최종 LUK 13% 증가,27,157,-,810
,14,최종 LUK 14% 증가,29,184,-,810
,15,최종 LUK 15% 증가,31,213,💎 410,"1,220"
,16,최종 LUK 16% 증가,34,244,-,"1,220"
,17,최종 LUK 17% 증가,36,278,-,"1,220"
,18,최종 LUK 18% 증가,38,314,-,"1,220"
,19,최종 LUK 19% 증가,41,352,-,"1,220"
,20,최종 LUK 20% 증가,43,393,💎 480,"1,700"
,21,최종 LUK 21% 증가,45,436,-,"1,700"
,22,최종 LUK 22% 증가,48,481,-,"1,700"
,23,최종 LUK 23% 증가,50,529,-,"1,700"
,24,최종 LUK 24% 증가,53,579,-,"1,700"
,25,최종 LUK 25% 증가,55,632,💎 550,"2,250"
,26,최종 LUK 26% 증가,58,687,-,"2,250"
,27,최종 LUK 27% 증가,60,745,-,"2,250"
,28,최종 LUK 28% 증가,63,805,-,"2,250"
,29,최종 LUK 29% 증가,65,868,-,"2,250"
,30,최종 LUK 30% 증가,68,933,💎 620,"2,870"
,31,최종 LUK 31% 증가,70,"1,001",-,"2,870"
,32,최종 LUK 32% 증가,73,"1,071",-,"2,870"
,33,최종 LUK 33% 증가,75,"1,144",-,"2,870"
,34,최종 LUK 34% 증가,78,"1,219",-,"2,870"
,35,최종 LUK 35% 증가,81,"1,297",💎 690,"3,560"
,36,최종 LUK 36% 증가,83,"1,378",-,"3,560"
,37,최종 LUK 37% 증가,86,"1,461",-,"3,560"
,38,최종 LUK 38% 증가,88,"1,547",-,"3,560"
,39,최종 LUK 39% 증가,91,"1,635",-,"3,560"
,40,최종 LUK 40% 증가,94,"1,726",💎 760,"4,320"
,41,최종 LUK 41% 증가,96,"1,820",-,"4,320"
,42,최종 LUK 42% 증가,99,"1,916",-,"4,320"
,43,최종 LUK 43% 증가,102,"2,015",-,"4,320"
,44,최종 LUK 44% 증가,104,"2,117",-,"4,320"
,45,최종 LUK 45% 증가,107,"2,221",💎 830,"5,150"
,46,최종 LUK 46% 증가,110,"2,328",-,"5,150"
,47,최종 LUK 47% 증가,112,"2,438",-,"5,150"
,48,최종 LUK 48% 증가,115,"2,550",-,"5,150"
,49,최종 LUK 49% 증가,118,"2,665",-,"5,150"
,50,최종 LUK 50% 증가,121,"2,783",💎 900,"6,050"
,51,최종 LUK 51% 증가,123,"2,904",-,"6,050"
,52,최종 LUK 52% 증가,126,"3,027",-,"6,050"
,53,최종 LUK 53% 증가,129,"3,153",-,"6,050"
,54,최종 LUK 54% 증가,131,"3,282",-,"6,050"
,55,최종 LUK 55% 증가,134,"3,413",💎 970,"7,020"
,56,최종 LUK 56% 증가,137,"3,547",-,"7,020"
,57,최종 LUK 57% 증가,140,"3,684",-,"7,020"
,58,최종 LUK 58% 증가,142,"3,824",-,"7,020"
,59,최종 LUK 59% 증가,145,"3,966",-,"7,020"
,60,최종 LUK 60% 증가,148,"4,111","💎 1,040","8,060"
,61,최종 LUK 61% 증가,151,"4,259",-,"8,060"
,62,최종 LUK 62% 증가,154,"4,410",-,"8,060"
,63,최종 LUK 63% 증가,156,"4,564",-,"8,060"
,64,최종 LUK 64% 증가,159,"4,720",-,"8,060"
,65,최종 LUK 65% 증가,162,"4,879","💎 1,110","9,170"
,66,최종 LUK 66% 증가,165,"5,041",-,"9,170"
,67,최종 LUK 67% 증가,168,"5,206",-,"9,170"
,68,최종 LUK 68% 증가,170,"5,374",-,"9,170"
,69,최종 LUK 69% 증가,173,"5,544",-,"9,170"
,70,최종 LUK 70% 증가,176,"5,717","💎 1,180","10,350"
,71,최종 LUK 71% 증가,179,"5,893",-,"10,350"
,72,최종 LUK 72% 증가,182,"6,072",-,"10,350"
,73,최종 LUK 73% 증가,185,"6,254",-,"10,350"
,74,최종 LUK 74% 증가,187,"6,439",-,"10,350"
,75,최종 LUK 75% 증가,190,"6,626","💎 1,250","11,600"
,76,최종 LUK 76% 증가,193,"6,816",-,"11,600"
,77,최종 LUK 77% 증가,196,"7,009",-,"11,600"
,78,최종 LUK 78% 증가,199,"7,205",-,"11,600"
,79,최종 LUK 79% 증가,202,"7,404",-,"11,600"
,80,최종 LUK 80% 증가,205,"7,606","💎 1,320","12,920"
,81,최종 LUK 81% 증가,207,"7,811",-,"12,920"
,82,최종 LUK 82% 증가,210,"8,018",-,"12,920"
,83,최종 LUK 83% 증가,213,"8,228",-,"12,920"
,84,최종 LUK 84% 증가,216,"8,441",-,"12,920"
,85,최종 LUK 85% 증가,219,"8,657","💎 1,390","14,310"
,86,최종 LUK 86% 증가,222,"8,876",-,"14,310"
,87,최종 LUK 87% 증가,225,"9,098",-,"14,310"
,88,최종 LUK 88% 증가,228,"9,323",-,"14,310"
,89,최종 LUK 89% 증가,231,"9,551",-,"14,310"
,90,최종 LUK 90% 증가,233,"9,782","💎 1,460","15,770"
,91,최종 LUK 91% 증가,236,"10,015",-,"15,770"
,92,최종 LUK 92% 증가,239,"10,251",-,"15,770"
,93,최종 LUK 93% 증가,242,"10,490",-,"15,770"
,94,최종 LUK 94% 증가,245,"10,732",-,"15,770"
,95,최종 LUK 95% 증가,248,"10,977","💎 1,530","17,300"
,96,최종 LUK 96% 증가,251,"11,225",-,"17,300"
,97,최종 LUK 97% 증가,254,"11,476",-,"17,300"
,98,최종 LUK 98% 증가,257,"11,730",-,"17,300"
,99,최종 LUK 99% 증가,260,"11,987",-,"17,300"
,100,최종 LUK 100% 증가,263,"12,247","💎 1,600","18,900"
,101,최종 LUK 101% 증가,266,"12,510",-,"18,900"
,102,최종 LUK 102% 증가,269,"12,776",-,"18,900"
,103,최종 LUK 103% 증가,272,"13,045",-,"18,900"
,104,최종 LUK 104% 증가,275,"13,317",-,"18,900"
,105,최종 LUK 105% 증가,278,"13,592","💎 1,670","20,570"
,106,최종 LUK 106% 증가,281,"13,870",-,"20,570"
,107,최종 LUK 107% 증가,284,"14,151",-,"20,570"
,108,최종 LUK 108% 증가,287,"14,435",-,"20,570"
,109,최종 LUK 109% 증가,289,"14,722",-,"20,570"
,110,최종 LUK 110% 증가,292,"15,011","💎 1,740","22,310"
,111,최종 LUK 111% 증가,295,"15,303",-,"22,310"
,112,최종 LUK 112% 증가,298,"15,598",-,"22,310"
,113,최종 LUK 113% 증가,301,"15,896",-,"22,310"
,114,최종 LUK 114% 증가,304,"16,197",-,"22,310"
,115,최종 LUK 115% 증가,307,"16,501","💎 1,810","24,120"
,116,최종 LUK 116% 증가,310,"16,808",-,"24,120"
,117,최종 LUK 117% 증가,313,"17,118",-,"24,120"
,118,최종 LUK 118% 증가,316,"17,431",-,"24,120"
,119,최종 LUK 119% 증가,319,"17,747",-,"24,120"
,120,최종 LUK 120% 증가,322,"18,066","💎 1,880","26,000"
,121,최종 LUK 121% 증가,325,"18,388",-,"26,000"
,122,최종 LUK 122% 증가,328,"18,713",-,"26,000"
,123,최종 LUK 123% 증가,332,"19,041",-,"26,000"
,124,최종 LUK 124% 증가,335,"19,373",-,"26,000"
,125,최종 LUK 125% 증가,338,"19,708","💎 1,950","27,950"
,126,최종 LUK 126% 증가,341,"20,046",-,"27,950"
,127,최종 LUK 127% 증가,344,"20,387",-,"27,950"
,128,최종 LUK 128% 증가,347,"20,731",-,"27,950"
,129,최종 LUK 129% 증가,350,"21,078",-,"27,950"
,130,최종 LUK 130% 증가,353,"21,428","💎 2,000","29,950"
,131,최종 LUK 131% 증가,356,"21,781",-,"29,950"
,132,최종 LUK 132% 증가,359,"22,137",-,"29,950"
,133,최종 LUK 133% 증가,362,"22,496",-,"29,950"
,134,최종 LUK 134% 증가,365,"22,858",-,"29,950"
,135,최종 LUK 135% 증가,368,"23,223","💎 2,000","31,950"
,136,최종 LUK 136% 증가,371,"23,591",-,"31,950"
,137,최종 LUK 137% 증가,374,"23,962",-,"31,950"
,138,최종 LUK 138% 증가,377,"24,336",-,"31,950"
,139,최종 LUK 139% 증가,380,"24,713",-,"31,950"
,140,최종 LUK 140% 증가,383,"25,093","💎 2,000","33,950"
,141,최종 LUK 141% 증가,386,"25,476",-,"33,950"
,142,최종 LUK 142% 증가,389,"25,862",-,"33,950"
,143,최종 LUK 143% 증가,392,"26,251",-,"33,950"
,144,최종 LUK 144% 증가,396,"26,643",-,"33,950"
,145,최종 LUK 145% 증가,399,"27,039","💎 2,000","35,950"
,146,최종 LUK 146% 증가,402,"27,438",-,"35,950"
,147,최종 LUK 147% 증가,405,"27,840",-,"35,950"
,148,최종 LUK 148% 증가,408,"28,245",-,"35,950"
,149,최종 LUK 149% 증가,411,"28,653",-,"35,950"
,150,최종 LUK 150% 증가,414,"29,064","💎 2,000","37,950"
,151,최종 LUK 151% 증가,417,"29,478",-,"37,950"
,152,최종 LUK 152% 증가,420,"29,895",-,"37,950"
,153,최종 LUK 153% 증가,423,"30,315",-,"37,950"
,154,최종 LUK 154% 증가,426,"30,738",-,"37,950"
,155,최종 LUK 155% 증가,430,"31,164","💎 2,000","39,950"
,156,최종 LUK 156% 증가,433,"31,594",-,"39,950"
,157,최종 LUK 157% 증가,436,"32,027",-,"39,950"
,158,최종 LUK 158% 증가,439,"32,463",-,"39,950"
,159,최종 LUK 159% 증가,442,"32,902",-,"39,950"
,160,최종 LUK 160% 증가,445,"33,344","💎 2,000","41,950"
,161,최종 LUK 161% 증가,448,"33,789",-,"41,950"
,162,최종 LUK 162% 증가,451,"34,237",-,"41,950"
,163,최종 LUK 163% 증가,454,"34,688",-,"41,950"
,164,최종 LUK 164% 증가,458,"35,142",-,"41,950"
,165,최종 LUK 165% 증가,461,"35,600","💎 2,000","43,950"
,166,최종 LUK 166% 증가,464,"36,061",-,"43,950"
,167,최종 LUK 167% 증가,467,"36,525",-,"43,950"
,168,최종 LUK 168% 증가,470,"36,992",-,"43,950"
,169,최종 LUK 169% 증가,473,"37,462",-,"43,950"
,170,최종 LUK 170% 증가,476,"37,935","💎 2,000","45,950"
,171,최종 LUK 171% 증가,479,"38,411",-,"45,950"
,172,최종 LUK 172% 증가,483,"38,890",-,"45,950"
,173,최종 LUK 173% 증가,486,"39,373",-,"45,950"
,174,최종 LUK 174% 증가,489,"39,859",-,"45,950"
,175,최종 LUK 175% 증가,492,"40,348","💎 2,000","47,950"
,176,최종 LUK 176% 증가,495,"40,840",-,"47,950"
,177,최종 LUK 177% 증가,498,"41,335",-,"47,950"
,178,최종 LUK 178% 증가,501,"41,833",-,"47,950"
,179,최종 LUK 179% 증가,505,"42,334",-,"47,950"
,180,최종 LUK 180% 증가,508,"42,839","💎 2,000","49,950"
,181,최종 LUK 181% 증가,511,"43,347",-,"49,950"
,182,최종 LUK 182% 증가,514,"43,858",-,"49,950"
,183,최종 LUK 183% 증가,517,"44,372",-,"49,950"
,184,최종 LUK 184% 증가,520,"44,889",-,"49,950"
,185,최종 LUK 185% 증가,524,"45,409","💎 2,000","51,950"
,186,최종 LUK 186% 증가,527,"45,933",-,"51,950"
,187,최종 LUK 187% 증가,530,"46,460",-,"51,950"
,188,최종 LUK 188% 증가,533,"46,990",-,"51,950"
,189,최종 LUK 189% 증가,536,"47,523",-,"51,950"
,190,최종 LUK 190% 증가,539,"48,059","💎 2,000","53,950"
,191,최종 LUK 191% 증가,543,"48,598",-,"53,950"
,192,최종 LUK 192% 증가,546,"49,141",-,"53,950"
,193,최종 LUK 193% 증가,549,"49,687",-,"53,950"
,194,최종 LUK 194% 증가,552,"50,236",-,"53,950"
,195,최종 LUK 195% 증가,555,"50,788","💎 2,000","55,950"
,196,최종 LUK 196% 증가,558,"51,343",-,"55,950"
,197,최종 LUK 197% 증가,562,"51,901",-,"55,950"
,198,최종 LUK 198% 증가,565,"52,463",-,"55,950"
,199,최종 LUK 199% 증가,568,"53,028",-,"55,950"
,200,최종 LUK 200% 증가,571,"53,596","💎 2,000","57,950"
,201,최종 LUK 201% 증가,574,"54,167",-,"57,950"
,202,최종 LUK 202% 증가,578,"54,741",-,"57,950"
,203,최종 LUK 203% 증가,581,"55,319",-,"57,950"
,204,최종 LUK 204% 증가,584,"55,900",-,"57,950"
,205,최종 LUK 205% 증가,587,"56,484","💎 2,000","59,950"
,206,최종 LUK 206% 증가,590,"57,071",-,"59,950"
,207,최종 LUK 207% 증가,594,"57,661",-,"59,950"
,208,최종 LUK 208% 증가,597,"58,255",-,"59,950"
,209,최종 LUK 209% 증가,600,"58,852",-,"59,950"
,210,최종 LUK 210% 증가,603,"59,452","💎 2,000","61,950"
,211,최종 LUK 211% 증가,606,"60,055",-,"61,950"
,212,최종 LUK 212% 증가,610,"60,661",-,"61,950"
,213,최종 LUK 213% 증가,613,"61,271",-,"61,950"
,214,최종 LUK 214% 증가,616,"61,884",-,"61,950"
,215,최종 LUK 215% 증가,619,"62,500","💎 2,000","63,950"
,216,최종 LUK 216% 증가,622,"63,119",-,"63,950"
,217,최종 LUK 217% 증가,626,"63,741",-,"63,950"
,218,최종 LUK 218% 증가,629,"64,367",-,"63,950"
,219,최종 LUK 219% 증가,632,"64,996",-,"63,950"
,220,최종 LUK 220% 증가,635,"65,628","💎 2,000","65,950"
,221,최종 LUK 221% 증가,639,"66,263",-,"65,950"
,222,최종 LUK 222% 증가,642,"66,902",-,"65,950"
,223,최종 LUK 223% 증가,645,"67,544",-,"65,950"
,224,최종 LUK 224% 증가,648,"68,189",-,"65,950"
,225,최종 LUK 225% 증가,651,"68,837","💎 2,000","67,950"
,226,최종 LUK 226% 증가,655,"69,488",-,"67,950"
,227,최종 LUK 227% 증가,658,"70,143",-,"67,950"
,228,최종 LUK 228% 증가,661,"70,801",-,"67,950"
,229,최종 LUK 229% 증가,664,"71,462",-,"67,950"
,230,최종 LUK 230% 증가,668,"72,126","💎 2,000","69,950"
,231,최종 LUK 231% 증가,671,"72,794",-,"69,950"
,232,최종 LUK 232% 증가,674,"73,465",-,"69,950"
,233,최종 LUK 233% 증가,677,"74,139",-,"69,950"
,234,최종 LUK 234% 증가,681,"74,816",-,"69,950"
,235,최종 LUK 235% 증가,684,"75,497","💎 2,000","71,950"
,236,최종 LUK 236% 증가,687,"76,181",-,"71,950"
,237,최종 LUK 237% 증가,690,"76,868",-,"71,950"
,238,최종 LUK 238% 증가,694,"77,558",-,"71,950"
,239,최종 LUK 239% 증가,697,"78,252",-,"71,950"
,240,최종 LUK 240% 증가,700,"78,949","💎 2,000","73,950"
,241,최종 LUK 241% 증가,703,"79,649",-,"73,950"
,242,최종 LUK 242% 증가,707,"80,352",-,"73,950"
,243,최종 LUK 243% 증가,710,"81,059",-,"73,950"
,244,최종 LUK 244% 증가,713,"81,769",-,"73,950"
,245,최종 LUK 245% 증가,716,"82,482","💎 2,000","75,950"
,246,최종 LUK 246% 증가,720,"83,198",-,"75,950"
,247,최종 LUK 247% 증가,723,"83,918",-,"75,950"
,248,최종 LUK 248% 증가,726,"84,641",-,"75,950"
,249,최종 LUK 249% 증가,729,"85,367",-,"75,950"
,250,최종 LUK 250% 증가,733,"86,096","💎 2,000","77,950"
,251,최종 LUK 251% 증가,736,"86,829",-,"77,950"
,252,최종 LUK 252% 증가,739,"87,565",-,"77,950"
,253,최종 LUK 253% 증가,743,"88,304",-,"77,950"
,254,최종 LUK 254% 증가,746,"89,047",-,"77,950"
,255,최종 LUK 255% 증가,749,"89,793","💎 2,000","79,950"
,256,최종 LUK 256% 증가,752,"90,542",-,"79,950"
,257,최종 LUK 257% 증가,756,"91,294",-,"79,950"
,258,최종 LUK 258% 증가,759,"92,050",-,"79,950"
,259,최종 LUK 259% 증가,762,"92,809",-,"79,950"
,260,최종 LUK 260% 증가,765,"93,571","💎 2,000","81,950"
,261,최종 LUK 261% 증가,769,"94,336",-,"81,950"
,262,최종 LUK 262% 증가,772,"95,105",-,"81,950"
,263,최종 LUK 263% 증가,775,"95,877",-,"81,950"
,264,최종 LUK 264% 증가,779,"96,652",-,"81,950"
,265,최종 LUK 265% 증가,782,"97,431","💎 2,000","83,950"
,266,최종 LUK 266% 증가,785,"98,213",-,"83,950"
,267,최종 LUK 267% 증가,788,"98,998",-,"83,950"
,268,최종 LUK 268% 증가,792,"99,786",-,"83,950"
,269,최종 LUK 269% 증가,795,"100,578",-,"83,950"
,270,최종 LUK 270% 증가,798,"101,373","💎 2,000","85,950"
,271,최종 LUK 271% 증가,802,"102,171",-,"85,950"
,272,최종 LUK 272% 증가,805,"102,973",-,"85,950"
,273,최종 LUK 273% 증가,808,"103,778",-,"85,950"
,274,최종 LUK 274% 증가,811,"104,586",-,"85,950"
,275,최종 LUK 275% 증가,815,"105,397","💎 2,000","87,950"
,276,최종 LUK 276% 증가,818,"106,212",-,"87,950"
,277,최종 LUK 277% 증가,821,"107,030",-,"87,950"
,278,최종 LUK 278% 증가,825,"107,851",-,"87,950"
,279,최종 LUK 279% 증가,828,"108,676",-,"87,950"
,280,최종 LUK 280% 증가,831,"109,504","💎 2,000","89,950"
,281,최종 LUK 281% 증가,835,"110,335",-,"89,950"
,282,최종 LUK 282% 증가,838,"111,170",-,"89,950"
,283,최종 LUK 283% 증가,841,"112,008",-,"89,950"
,284,최종 LUK 284% 증가,845,"112,849",-,"89,950"
,285,최종 LUK 285% 증가,848,"113,694","💎 2,000","91,950"
,286,최종 LUK 286% 증가,851,"114,542",-,"91,950"
,287,최종 LUK 287% 증가,854,"115,393",-,"91,950"
,288,최종 LUK 288% 증가,858,"116,247",-,"91,950"
,289,최종 LUK 289% 증가,861,"117,105",-,"91,950"
,290,최종 LUK 290% 증가,864,"117,966","💎 2,000","93,950"
,291,최종 LUK 291% 증가,868,"118,830",-,"93,950"
,292,최종 LUK 292% 증가,871,"119,698",-,"93,950"
,293,최종 LUK 293% 증가,874,"120,569",-,"93,950"
,294,최종 LUK 294% 증가,878,"121,443",-,"93,950"
,295,최종 LUK 295% 증가,881,"122,321","💎 2,000","95,950"
,296,최종 LUK 296% 증가,884,"123,202",-,"95,950"
,297,최종 LUK 297% 증가,888,"124,086",-,"95,950"
,298,최종 LUK 298% 증가,891,"124,974",-,"95,950"
,299,최종 LUK 299% 증가,894,"125,865",-,"95,950"
,300,최종 LUK 300% 증가,-,"126,759",-,"95,950"